Date,Min_Var_Excess_Returns,Util_Max_Excess_Returns,Equal_Excess_Returns
2020-04,-0.017788350798676623,-0.006848945624531792,-0.011861044600000006
2020-06,-0.0501659176590465,0.07700623751512546,-0.0658868364
2020-07,0.003326931735333756,-0.05033668643040906,-0.014142149200000006
2020-09,0.028000813911567196,0.03216435095784175,0.0810972212
2020-12,-0.042692673545197915,0.02962212533219567,-0.0754316824
2021-02,-0.019577691050975884,0.05196962556968849,-0.025334105400000004
2021-03,-0.012580852107453777,0.039719510463812314,0.017739870200000004
2021-04,-0.018328972202686783,0.06645355123736754,-0.006173981400000004
2021-06,0.020419157026802366,0.059949126326604485,0.012664619399999993
2021-07,0.09913780452130191,0.08830773971336366,0.09878523600000001
2021-09,-0.029306524743501938,-0.008121896975755348,-0.060254398599999995
2021-11,0.0042598551908169325,-0.008665393764655917,0.0076287016000000036
2021-12,-0.0020317035745882127,-0.008626649080245491,-0.010745722599999999
2022-03,0.05223062319938051,-0.07902027245888085,0.04768740640000001
2022-04,0.010629889005568249,0.12703761568470848,0.043158785799999995
2022-06,-0.1915100561805935,-0.20158174912277482,-0.1865471314
2022-07,0.03970048768985455,0.01515455770611476,0.049299909200000006
2022-08,-0.050931401855723576,-0.014312237682307695,-0.046340249800000004
